5,0,7,0,0,2,0,10,0,0,0,0,0,9,2,1,0,0,7,30
0,169,1,5,0,0,3,2,3,3,0,0,0,1,15,1,6,2,1,2
2,1,534,2,3,3,3,7,0,20,0,0,8,29,5,3,7,35,111,79
0,1,2,53,0,0,1,0,1,1,0,0,1,3,0,5,2,1,4,2
0,0,1,0,91,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2
0,0,1,0,0,227,0,4,0,0,0,0,0,1,0,0,0,0,1,8
1,2,3,0,0,0,106,0,2,6,0,0,0,0,10,11,0,0,4,1
3,0,5,1,0,7,0,120,0,0,0,0,0,1,1,0,0,0,0,22
0,1,0,0,0,0,0,1,19,1,0,0,0,0,3,4,0,0,3,0
0,2,21,5,0,1,1,0,3,252,0,0,1,1,16,2,7,0,22,2
0,1,0,1,0,0,0,1,3,1,0,0,0,1,1,3,0,0,0,1
2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,4
0,2,7,6,0,0,1,0,0,7,0,0,81,5,1,0,2,5,1,1
1,0,19,1,0,0,0,1,0,2,0,0,0,58,0,0,0,6,9,19
0,6,17,1,0,1,9,2,9,16,0,0,0,1,332,1,5,0,9,6
1,1,0,0,0,1,1,2,1,1,0,0,0,0,3,92,0,0,12,10
0,3,4,2,0,0,0,0,0,7,0,0,0,0,6,0,222,3,2,0
0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,98,1,7
1,0,28,0,2,5,1,0,0,9,0,0,0,0,1,6,1,0,450,24
0,0,6,1,0,1,0,8,1,0,0,0,0,10,0,4,0,0,7,159
